rid,unikey,ckey,subkey,pkey,figs,type,nkey,taxon,abbrev_taxon,fullname,subgen,genus,family,epithets,keystr,ctxt,fkey,sex,docn,kcnt,page
298,Acartia_08b_13a_omorii_fig,,,,"25,26",2,,Acartia omorii,A.  omorii,"Acartia (Acartiura) omorii (Bradford, 1976 (F,M)",Acartiura,Acartia,Acartiidae,omorii,"","<div id=""figs_Acartia_omorii""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia (Acartiura) omorii</em> (Bradford, 1976 (F,M) (size: <a href=""#key_Acartia_8b"">female</a>, 0.90-1.30 mm; <a href=""#key_Acartia_13a"">male</a>, 0.80-1.20 mm)</span></div><span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_omorii_01""><img src=""assets/img/sp_thumb/Acartia_omorii_01.png"" border=""0"" /></a><span id=""fig_Acartia_omorii_01"" class=""spcap"">Mori</span></span> <span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_omorii_02""><img src=""assets/img/sp_thumb/Acartia_omorii_02.png"" border=""0"" /></a><span id=""fig_Acartia_omorii_02"" class=""spcap"">Shen & Bai</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia (Acartiura) omorii</em> (Bradford, 1976 (F,M)</span></div><div class=""fig_cap""><span class=""spcap"">Mori, 1937. Pl.50, Figs. 8-13. <em>Acartia (Acartiura) omorii</em> Bradford, 1976, <strong>Female</strong>: 8. Habitus (dorsal); 10. Leg 5; 13. Forehead (ventral). <strong>Male</strong>: 9, habitus (dorsal); 11. Leg 5; 12. Right antennule (distal portion).</span></div><br><div class=""fig_cap""><span class=""spcap"">Shen & Bai., 1956, 8 (2). [Pl.VII, Figs.49-51]. As <em>Acartia clausi</em>. <em>Acartia (Acartiura) omorii</em> Bradford, 1976, <strong>Male</strong> (from Chefoo): 49, habitus (dorsal); 50, leg 5. 51, <strong>Female</strong>: leg 5.</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 27 2021].</span></div></div><br><br>","Acartia_omorii_01,Acartia_omorii_02",,1,104,1
305,Acartia_30b_31a_forticrusa_fig,,,,"27,28",2,,Acartia forticrusa,A.  forticrusa,"Acartia (Euacartia) forticrusa (Soh, Moon, Park & Maran, 2013)",Euacartia,Acartia,Acartiidae,forticrusa,"","<div id=""figs_Acartia_forticrusa""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia (Euacartia) forticrusa</em> (Soh, Moon, Park & Maran, 2013) (size: <a href=""#key_Acartia_30b"">female</a>, 0.79-0.88 mm; <a href=""#key_Acartia_31a"">male</a>, 0.69-0.80 mm)</span></div><span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_forticrusa_01""><img src=""assets/img/sp_thumb/Acartia_forticrusa_01.png"" border=""0"" /></a><span id=""fig_Acartia_forticrusa_01"" class=""spcap"">3</span></span> <span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_forticrusa_02""><img src=""assets/img/sp_thumb/Acartia_forticrusa_02.png"" border=""0"" /></a><span id=""fig_Acartia_forticrusa_02"" class=""spcap"">4</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia (Euacartia) forticrusa</em> (Soh, Moon, Park & Maran, 2013)</span></div><div class=""fig_cap""><span class=""spcap"">Soh, Moon, Park & Maran, 2013. Fig. 3. <strong>Female</strong>. <em>A. maxilla</em>, B. maxilliped. C. leg 1 (anterior), D. leg 2 (anterior); E. leg 3 (anterior) F, leg 4 (anterior), G. exopod segment 3 of leg 4 (anterior); H. leg 5. Fig. 4. <strong>Male</strong> from Beolgyo Stream estuary) A-B, habitus (dorsal/lateral); C. right antennule; D-F. 13-15. Segments of right antennule; G. leg 5 (anterior); H. segment 3 of left leg 5.</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 27 2021].</span></div></div><br><br>","Acartia_forticrusa_01,Acartia_forticrusa_02",,1,105,3
315,Acartia_30a_32b_sarojus_fig,,,,"29,30,31",2,,Acartia sarojus,A.  sarojus,"Acartia (Euacartia) sarojus (Madhupratap & Haridas, 1994)",Euacartia,Acartia,Acartiidae,sarojus,"","<div id=""figs_Acartia_sarojus""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia (Euacartia) sarojus</em> (Madhupratap & Haridas, 1994) (size: <a href=""#key_Acartia_30a"">female</a>, 0.85-0.94 mm; <a href=""#key_Acartia_32b"">male</a>, 0.70-0.83 mm)</span></div><span class=""ntrd""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_sarojus_01""><img src=""assets/img/sp_thumb/Acartia_sarojus_01.png"" border=""0"" /></a><span id=""fig_Acartia_sarojus_01"" class=""spcap"">1</span></span> <span class=""ntrd""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_sarojus_02""><img src=""assets/img/sp_thumb/Acartia_sarojus_02.png"" border=""0"" /></a><span id=""fig_Acartia_sarojus_02"" class=""spcap"">3</span></span> <span class=""ntrd""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_sarojus_03""><img src=""assets/img/sp_thumb/Acartia_sarojus_03.png"" border=""0"" /></a><span id=""fig_Acartia_sarojus_03"" class=""spcap"">5</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia (Euacartia) sarojus</em> (Madhupratap & Haridas, 1994)</span></div><div class=""fig_cap""><span class=""spcap"">M. Madhupratap & P. Haridas, 1994. Fig.1. <em>Acartia (Euacartia) sarojus</em> Madhupratap & Haridas, 1994, <strong>Female</strong>: G, habitus (dirsal); H, urosome (dorsal); I, idem (right lateral view) with spermatophore fixed. <strong>Male</strong>: J, habitus (dorsal); K, urosome (dorsal). Fig.3. <strong>Female</strong>: F, masticatory edge of the gnathobase of mandible. Fig.5. <strong>Female</strong>: C, leg 5. <strong>Male</strong>: D, leg 5.</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 27 2021].</span></div></div><br><br>","Acartia_sarojus_01,Acartia_sarojus_02,Acartia_sarojus_03",,1,106,3
327,Acartia_29a_32a_southwelli_fig,,,,"32,33",2,,Acartia southwelli,A.  southwelli,"Acartia (Euacartia) southwelli (Sewell, 1914)",Euacartia,Acartia,Acartiidae,southwelli,"","<div id=""figs_Acartia_southwelli""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia (Euacartia) southwelli</em> (Sewell, 1914) (size: <a href=""#key_Acartia_29a"">female</a>, 0.73-0.84 mm; <a href=""#key_Acartia_32a"">male</a>, 0.68-0.75 mm)</span></div><span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_southwelli_01""><img src=""assets/img/sp_thumb/Acartia_southwelli_01.png"" border=""0"" /></a><span id=""fig_Acartia_southwelli_01"" class=""spcap"">Sewell, 1914</span></span> <span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_southwelli_02""><img src=""assets/img/sp_thumb/Acartia_southwelli_02.png"" border=""0"" /></a><span id=""fig_Acartia_southwelli_02"" class=""spcap"">Sewell, 1924</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia (Euacartia) southwelli</em> (Sewell, 1914)</span></div><div class=""fig_cap""><span class=""spcap"">Sewell, 1914. Pl.XIX, Figs.8-9. <em>Acartia (Euacartia) southwelli</em> Sewell, 1914, <strong>Female</strong> (from Gulf of Mannar): 9, P5. <strong>Male</strong>: 8, P5. Nota: Proportional lengths of prosome and urosome 4:1. Proportional lengths of urosomites and furca 18:14:3:9:10. Right A1 15-segmented (segments 1-4, 5-6, 7-8, 19-21, 22-25 fused) modified to form a grasping organ. P5: the right leg forms a claw, the 2nd segment bears a somewhat quadrangular process on its inner border, and the 3rd segment terminates in 2 short unequal spines</span></div><br><div class=""fig_cap""><span class=""spcap"">Sewell, 1924. Pl. XLV, Fig.6. <em>Acartia (Euacartia) southwelli</em> Sewell, 1914, <strong>Female</strong> and <strong>Male</strong> (from Chilka Lake).</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 27 2021].</span></div></div><br><br>","Acartia_southwelli_01,Acartia_southwelli_02",,1,107,3
337,Acartia_20a_amboinensis_fig,,,,"34,35",2,,Acartia amboinensis,A.  amboinensis,"Acartia (Odontacartia) amboinensis (Carl, 1907)",Odontacartia,Acartia,Acartiidae,amboinensis,"","<div id=""figs_Acartia_amboinensis""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia (Odontacartia) amboinensis</em> (Carl, 1907) (size: <a href=""#key_Acartia_20a"">female</a>, 1-33-1.42 mm; <a href=""#key_Acartia_20a"">male</a>, 1.29-1.33mm)</span></div><span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_amboinensis_01""><img src=""assets/img/sp_thumb/Acartia_amboinensis_01.png"" border=""0"" /></a><span id=""fig_Acartia_amboinensis_01"" class=""spcap"">31</span></span> <span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_amboinensis_02""><img src=""assets/img/sp_thumb/Acartia_amboinensis_02.png"" border=""0"" /></a><span id=""fig_Acartia_amboinensis_02"" class=""spcap"">32</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia (Odontacartia) amboinensis</em> (Carl, 1907)</span></div><div class=""fig_cap""><span class=""spcap"">Yamani & I. Prusova, 2003. Fig.31. <em>Acartia (Odontacartia) amboinensis</em> Carl, 1907, <strong>Female</strong>: A, habitus (dorsal); B, idem (lateral right side); C, forehead (dorsal); D/E/F, urosome (lateral/ventral/dorsal); G, leg 5. Fig.32. <strong>Male</strong>: H/I, urosome (dorsal/lateral); J, leg 5.</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 27 2021].</span></div></div><br><br>","Acartia_amboinensis_01,Acartia_amboinensis_02",,1,108,2
346,Acartia_16a_27a_bispinosa_fig,,,,"36,37",2,,Acartia bispinosa,A.  bispinosa,"Acartia (Odontacartia) bispinosa (Carl, 1907)",Odontacartia,Acartia,Acartiidae,bispinosa,"","<div id=""figs_Acartia_bispinosa""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia (Odontacartia) bispinosa</em> (Carl, 1907) (size: <a href=""#key_Acartia_16a"">female</a>, 1.20-1.60 mm; <a href=""#key_Acartia_27a"">male</a>, 1.17-1.40 mm)</span></div><span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_bispinosa_01""><img src=""assets/img/sp_thumb/Acartia_bispinosa_01.png"" border=""0"" /></a><span id=""fig_Acartia_bispinosa_01"" class=""spcap"">Plate 21</span></span> <span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_bispinosa_02""><img src=""assets/img/sp_thumb/Acartia_bispinosa_02.png"" border=""0"" /></a><span id=""fig_Acartia_bispinosa_02"" class=""spcap"">Plate 22</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia (Odontacartia) bispinosa</em> (Carl, 1907)</span></div><div class=""fig_cap""><span class=""spcap"">Chihara & Murano, 1997; Pl. 21, fig.12 a-d. <em>Acartia (Odontacartia) bispinosa</em> Carl, 1907, <strong>Female</strong>: a, habitus (dorsal); b, A1 (proximal segments); c, last thoracic segment and urosome (lateral); d, P5.. Pl. 22, fig.12 a-d. <strong>Male</strong>: a, habitus (dorsal); b, urosome (dorsal); c, last thoracic segment and urosome (lateral); d, P5.</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 27 2021].</span></div></div><br><br>","Acartia_bispinosa_01,Acartia_bispinosa_02",,1,109,2
355,Acartia_21b_25a_erythraea_fig,,,,"38,39",2,,Acartia erythraea,A.  erythraea,"Acartia (Odontacartia) erythraea (Giesbrecht, 1889)",Odontacartia,Acartia,Acartiidae,erythraea,"","<div id=""figs_Acartia_erythraea""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia (Odontacartia) erythraea</em> (Giesbrecht, 1889) (size: <a href=""#key_Acartia_21b"">female</a>, 1.10-1.50 mm; <a href=""#key_Acartia_25a"">male</a>, 1.00-1.40 mm)</span></div><span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_erythraea_01""><img src=""assets/img/sp_thumb/Acartia_erythraea_01.png"" border=""0"" /></a><span id=""fig_Acartia_erythraea_01"" class=""spcap"">Mori</span></span> <span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_erythraea_02""><img src=""assets/img/sp_thumb/Acartia_erythraea_02.png"" border=""0"" /></a><span id=""fig_Acartia_erythraea_02"" class=""spcap"">Chen/Zhang</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia (Odontacartia) erythraea</em> (Giesbrecht, 1889)</span></div><div class=""fig_cap""><span class=""spcap"">Mori, 1937. Pl.50, Figs.1-4. <em>Acartia (Odontacartia) erythraea</em> Giesbrecht, 1889, <strong>Female</strong>: 1, habitus (dorsal); 2, P5; 3, A1; 4, forehead (frontal view)</span></div><br><div class=""fig_cap""><span class=""spcap"">Chen & Zhang, 1965. Pl.50, 1-6. <em>Acartia (Odontacartia) erythraea</em> Giesbrecht, 1889, <strong>Female</strong> (from E China Sea): 1, habitus (dorsal); 2, forehead (ventral); 3, urosome (dorsal); 4, right P5 (anterior). <strong>Male</strong>: 5, urosome (dorsal); 6, leg 5 (posterior).</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 27 2021].</span></div></div><br><br>","Acartia_erythraea_01,Acartia_erythraea_02",,1,110,2
364,Acartia_21a_27b_japonica_fig,,,,40,2,,Acartia japonica,A.  japonica,"Acartia (Odontacartia) japonica (Mori, 1940)",Odontacartia,Acartia,Acartiidae,japonica,"","<div id=""figs_Acartia_japonica""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia (Odontacartia) japonica</em> (Mori, 1940) (size: <a href=""#key_Acartia_21a"">female</a>, 1.30-1.65 mm; <a href=""#key_Acartia_27b"">male</a>, 1.19-1.36 mm)</span></div><span class=""nfig""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_japonica_01""><img src=""assets/img/sp_thumb/Acartia_japonica_01.png"" border=""0"" /></a><span id=""fig_Acartia_japonica_01"" class=""spcap""></span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia (Odontacartia) japonica</em> (Mori, 1940)</span></div><div class=""fig_cap""><span class=""spcap"">H. Ueda, 1986. Fig.2. <em>Acartia (Odontacartia) japonica</em> Mori, 1940, <strong>Male</strong> (from Uchiura Bay, Japan): A, B, habitus (dorsal and lateral, respectively); C/D, posterior promosome and urosome (dorsal/lateral); E, right antennule (dorsal view); F, leg 5 (anterior view); G, segment 3 of left leg 5.</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 27 2021].</span></div></div><br><br>",Acartia_japonica_01,,1,111,3
375,Acartia_18a_24b_ohtsukai_fig,,,,"41,42",2,,Acartia ohtsukai,A.  ohtsukai,"Acartia (Odontacartia) ohtsukai (Ueda & Bucklin, 2006)",Odontacartia,Acartia,Acartiidae,ohtsukai,"","<div id=""figs_Acartia_ohtsukai""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia (Odontacartia) ohtsukai</em> (Ueda & Bucklin, 2006) (size: <a href=""#key_Acartia_18a"">female</a>, 1.06-1.51 mm; <a href=""#key_Acartia_24b"">male</a>, 0.95-1.33 mm)</span></div><span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_ohtsukai_01""><img src=""assets/img/sp_thumb/Acartia_ohtsukai_01.png"" border=""0"" /></a><span id=""fig_Acartia_ohtsukai_01"" class=""spcap"">Brodskii, 1950</span></span> <span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_ohtsukai_02""><img src=""assets/img/sp_thumb/Acartia_ohtsukai_02.png"" border=""0"" /></a><span id=""fig_Acartia_ohtsukai_02"" class=""spcap"">Chen & Zhang 1965</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia (Odontacartia) ohtsukai</em> (Ueda & Bucklin, 2006)</span></div><div class=""fig_cap""><span class=""spcap"">K.A. Brodskii, 1950. Fig.298. As <em>Acartia pacifica</em>. <em>Acartia (Odontacartia) ohtsukai</em> Ueda & Bucklin, 2006, <strong>Female</strong> (from Sea of Japan): habitus (dorsal); urosome (dorsal); S5, leg 5. <strong>Male</strong>: habitus (dorsal); last prosomec segment and urosome (dorsal); S5, leg 5.</span></div><br><div class=""fig_cap""><span class=""spcap"">Q.-c Chen & S.-z. Zhang, 1965. <em>Acartia (Odontacartia) ohtsukai</em> Ueda & Bucklin, 2006 ,Pl.49, 9-12. As <em>Acartia pacifica</em>. <strong>Female</strong> (from E China Sea): 9, habitus (dorsal); 10, P5 (posterior). <strong>Male</strong>: 11, habitus (dorsal); 12, P5 (posterior).</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 27 2021].</span></div></div><br><br>","Acartia_ohtsukai_01,Acartia_ohtsukai_02",,1,112,2
386,Acartia_19b_23b_pacifica_fig,,,,"43,44",2,,Acartia pacifica,A.  pacifica,"Acartia (Odontacartia) pacifica (Steuer, 1915)",Odontacartia,Acartia,Acartiidae,pacifica,"","<div id=""figs_Acartia_pacifica""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia (Odontacartia) pacifica</em> (Steuer, 1915) (size : <a href=""#key_Acartia_19b"">female</a>, 1.00-1.51 mm ; <a href=""#key_Acartia_23b"">male</a>, 0.95-1.33 mm)</span></div><span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_pacifica_01""><img src=""assets/img/sp_thumb/Acartia_pacifica_01.png"" border=""0"" /></a><span id=""fig_Acartia_pacifica_01"" class=""spcap"">33</span></span> <span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_pacifica_02""><img src=""assets/img/sp_thumb/Acartia_pacifica_02.png"" border=""0"" /></a><span id=""fig_Acartia_pacifica_02"" class=""spcap"">34</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia (Odontacartia) pacifica</em> (Steuer, 1915)</span></div><div class=""fig_cap""><span class=""spcap"">F.Y. Al-Yamani & I. Prusova 2003. Fig.33: <em>Acartia (Odontacartia) pacifica</em> Steuer, 1915, <strong>Female</strong>: A/B, habitus (dorsal/lateral); C/D, urosome (dorsal/lateral); E, rostrum (ventral); F, leg 5. Fig.34. <strong>Female</strong>: J/K, urosome (dorsal/abnormal). <strong>Male</strong>: G, habitus (dorsal); H, urosome (dorsal); I, leg 5.</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 27 2021].</span></div></div><br><br>","Acartia_pacifica_01,Acartia_pacifica_02",,1,113,2
395,Acartia_19a_24a_spinicauda_fig,,,,"45,46,47,48",2,,Acartia spinicauda,A.  spinicauda,"Acartia (Odontacartia) spinicauda (Giesbrecht, 1889)",Odontacartia,Acartia,Acartiidae,spinicauda,"","<div id=""figs_Acartia_spinicauda""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia (Odontacartia) spinicauda</em> (Giesbrecht, 1889) (size: <a href=""#key_Acartia_19a"">female</a>, 1.25-1.55 mm; <a href=""#key_Acartia_24a"">male</a>, 1.16-1.32 mm)</span></div><span class=""nnar""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_spinicauda_01""><img src=""assets/img/sp_thumb/Acartia_spinicauda_01.png"" border=""0"" /></a><span id=""fig_Acartia_spinicauda_01"" class=""spcap"">16</span></span> <span class=""nnar""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_spinicauda_02""><img src=""assets/img/sp_thumb/Acartia_spinicauda_02.png"" border=""0"" /></a><span id=""fig_Acartia_spinicauda_02"" class=""spcap"">21 ( Giesbrecht, 1892, Plate 30 )</span></span> <span class=""nnar""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_spinicauda_03""><img src=""assets/img/sp_thumb/Acartia_spinicauda_03.png"" border=""0"" /></a><span id=""fig_Acartia_spinicauda_03"" class=""spcap"">35</span></span> <span class=""nnar""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_spinicauda_04""><img src=""assets/img/sp_thumb/Acartia_spinicauda_04.png"" border=""0"" /></a><span id=""fig_Acartia_spinicauda_04"" class=""spcap"">11 (Giesbrecht, 1892, Plate 43)</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia (Odontacartia) spinicauda</em> (Giesbrecht, 1889)</span></div><div class=""fig_cap""><span class=""spcap"">W. Giesbrecht in Fauna Flora Golf. Neapel, 1892, 19. Taf.30, Fig.16. <em>Acartia (Odontacartia) spinicauda</em> Giesbrecht, 1889, <strong>Male</strong>: Mxp (distal portion). Fig.21. <strong>Female</strong>: leg 5 (posterior view). Fig.35. <strong>Male</strong>: leg 5; Taf. 43, fig. 11, last prosome segment & urosome (dorsal).</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 27 2021].</span></div></div><br><br><br><br>","Acartia_spinicauda_01,Acartia_spinicauda_02,Acartia_spinicauda_03,Acartia_spinicauda_04",,1,114,2
0,Aetideopsis_00a_genus,,,,,,,,,,,Aetideopsis,Aetideidae,"armata, retusa",,"<div id=""genus_Aetideopsis"" class=""kblk""><p class=""doc_title"">Key to the species of <em>Aetideopsis</em> occurring in the China seas</p></div><br><br><br><div id=""species_Aetideopsis"" class=""kblk""><p class=""doc_epithets""><em>Aetideopsis armata</em>(<a href=""#key_Aetideopsis_1a"">1a</a>/f), <em>retusa</em>(<a href=""#key_Aetideopsis_1b"">1b</a>/f)</p></div><br><br><br>",,,2,115,5
5,Aetideopsis_01a,1a,a,,"49,50",1,,Aetideopsis armata,Aetideopsis armata,"Aetideopsis armata (Boeck, 1872)","",Aetideopsis,Aetideidae,armata,"In female, rostral rami closed together; leg 1 exopod segment 1, outer spine not reaching the outer spine of exopod segment 2. In male, left leg 5: exopod segment 3 with a small terminal spine and 2 thin little spines apically","<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Aetideopsis_1a"">1a</mark>&nbsp;In female, rostral rami closed together; leg 1 exopod segment 1, outer spine not reaching the outer spine of exopod segment 2. In male, left leg 5: exopod segment 3 with a small terminal spine and 2 thin little spines apically</span><span class=""keycol""><mark id=""taxon_Aetideopsis_armata_male""><em><a href=""#figs_Aetideopsis_armata"">Aetideopsis armata</a></em></mark></span></p></div>","Aetideopsis_armata_01,Aetideopsis_armata_02",female/male,2,116,5
6,Aetideopsis_01b,1b,b,,"51,52",1,,Aetideopsis retusa,Aetideopsis retusa,"Aetideopsis retusa (Grice & Hülsemann, 1967)","",Aetideopsis,Aetideidae,retusa,"In female, rostral rami diverged; leg 1 exopod segment 1, outer spine reaching beyond insertion of outer spine of exopod segment 2. In male, left leg 5: exopod segment 3 with a terminal spine and without apical spines","<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Aetideopsis_1b"">1b</mark>&nbsp;In female, rostral rami diverged; leg 1 exopod segment 1, outer spine reaching beyond insertion of outer spine of exopod segment 2. In male, left leg 5: exopod segment 3 with a terminal spine and without apical spines</span><span class=""keycol""><mark id=""taxon_Aetideopsis_retusa""><em><a href=""#figs_Aetideopsis_retusa"">Aetideopsis retusa</a></em></mark></span></p></div><br><br>","Aetideopsis_retusa_01,Aetideopsis_retusa_02",female/male,2,117,5
29,Aetideopsis_01a_armata_fig,,,,"49,50",2,,Aetideopsis armata,Aetideopsis armata,"Aetideopsis armata (Boeck, 1872)","",Aetideopsis,Aetideidae,armata,"","<div id=""figs_Aetideopsis_armata""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Aetideopsis armata</em> (Boeck, 1872) (size: <a href=""#key_Aetideopsis_1a"">female</a>, 2.80-4.50 mm; <a href=""#key_Aetideopsis_1a"">male</a>, 2.90-4.00 mm)</span></div><span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Aetideopsis_armata_01""><img src=""assets/img/sp_thumb/Aetideopsis_armata_01.png"" border=""0"" /></a><span id=""fig_Aetideopsis_armata_01"" class=""spcap"">Female</span></span> <span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Aetideopsis_armata_02""><img src=""assets/img/sp_thumb/Aetideopsis_armata_02.png"" border=""0"" /></a><span id=""fig_Aetideopsis_armata_02"" class=""spcap"">Male</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Aetideopsis armata</em> (Boeck, 1872)</span></div><div class=""fig_cap""><span class=""spcap"">Original. <em>Euchirella venusta</em> Giesbrecht, 1888, <strong>Female</strong> 3.84 mm, East China Sea. a/b habitus (dorsal/lateral); c. leg 1. <strong>Male</strong>. 3.12 mm, East China Sea. a/b. habitus (dorsal/lateral); c. leg 5 (posterior)</span></div></div><br><br>","Aetideopsis_armata_01,Aetideopsis_armata_02",,2,118,5
